X,Y,Z,code
1.5362,42.5121,7501,020
19.5196,42.0788,5550,008
19.5279,42.0788,5031,008
19.5029,42.0704,6584,008
19.5112,42.0704,7108,008
19.5196,42.0704,7651,008
19.5279,42.0704,6903,008
19.5029,42.0621,7010,008
19.5112,42.0621,7361,008
19.5196,42.0621,7764,008
19.5279,42.0621,6044,008
19.5196,42.0538,5718,008
19.6446,41.7788,7013,008
19.6529,41.7788,5480,008
20.4279,41.6871,5546,008
19.7529,41.3954,5739,008
19.7529,41.3871,5789,008
19.7612,41.3871,8607,008
19.7696,41.3871,5602,008
19.7529,41.3788,6091,008
19.7612,41.3788,9758,008
19.7696,41.3788,6661,008
19.7779,41.3788,6100,008
19.7862,41.3788,9194,008
19.7946,41.3788,8291,008
19.7612,41.3704,8285,008
19.7779,41.3704,9050,008
19.7862,41.3704,7582,008
19.7946,41.3704,5245,008
19.7529,41.3621,5144,008
19.7612,41.3621,9813,008
19.7862,41.3621,6897,008
19.8446,41.3621,6941,008
19.8529,41.3621,7658,008
19.7362,41.3538,5104,008
19.7529,41.3538,5897,008
19.7612,41.3538,9842,008
19.7946,41.3538,7188,008
19.8029,41.3538,5828,008
19.8112,41.3538,6227,008
19.8196,41.3538,7778,008
19.8279,41.3538,8639,008
19.7612,41.3454,5472,008
19.7696,41.3454,7390,008
19.8696,41.3454,5095,008
19.4446,41.3371,5176,008
19.7779,41.3371,6625,008
19.8696,41.3371,8330,008
19.4446,41.3288,5802,008
19.4529,41.3288,6171,008
19.4612,41.3288,5942,008
19.4696,41.3288,5888,008
19.4779,41.3288,6299,008
19.4862,41.3288,5824,008
19.7779,41.3288,6650,008
19.7862,41.3288,8700,008
19.8529,41.3288,7682,008
19.8612,41.3288,5134,008
19.8696,41.3288,5312,008
19.4446,41.3204,6035,008
19.4529,41.3204,5964,008
19.4612,41.3204,5917,008
19.4696,41.3204,5654,008
19.4779,41.3204,6059,008
19.4862,41.3204,5155,008
19.7696,41.3204,8699,008
19.8446,41.3204,8683,008
19.4446,41.3121,5127,008
19.4946,41.3121,5371,008
19.7696,41.3121,8531,008
19.7862,41.3121,6030,008
19.7946,41.3121,6732,008
19.8112,41.3121,9800,008
19.8196,41.3121,5036,008
19.4946,41.3038,5352,008
19.8196,41.3038,6410,008
19.8279,41.3038,8007,008
19.8362,41.3038,8406,008
19.8446,41.3038,5371,008
19.8446,41.2954,6286,008
20.0779,41.1204,7327,008
20.0862,41.1204,7210,008
20.0946,41.1204,6727,008
20.0696,41.1121,6134,008
20.0779,41.1121,7789,008
20.0862,41.1121,7700,008
20.0946,41.1121,5082,008
20.0696,41.1038,6539,008
20.0779,41.1038,6344,008
20.6446,40.9038,5164,008
19.5529,40.7371,8273,008
19.5612,40.7371,8513,008
19.5696,40.7288,8652,008
19.5529,40.7204,7553,008
19.5612,40.7204,8772,008
19.9362,40.7121,5087,008
20.7696,40.6204,6105,008
20.7779,40.6204,8496,008
20.7862,40.6204,5662,008
20.7696,40.6121,5587,008
20.7779,40.6121,7916,008
20.7862,40.6121,6690,008
19.4779,40.4788,5381,008
19.4862,40.4788,5994,008
19.4779,40.4704,5773,008
19.4862,40.4704,7176,008
19.4946,40.4704,5924,008
19.4779,40.4621,6387,008
19.4862,40.4621,7106,008
19.4946,40.4621,6110,008
19.4862,40.4538,6001,008
19.4946,40.4538,5463,008
20.1362,40.0788,6552,008
47.0112,40.7704,6382,031
47.0196,40.7704,6026,031
47.0279,40.7704,6248,031
46.9862,40.7621,5134,031
46.3529,40.7204,5083,031
46.2946,40.7121,6290,031
46.3029,40.7121,9027,031
46.3112,40.7121,6435,031
46.3529,40.7121,7744,031
46.3612,40.7121,9461,031
46.3696,40.7121,6138,031
46.2862,40.7038,5792,031
46.3196,40.7038,6102,031
46.3279,40.7038,6511,031
46.3362,40.7038,5321,031
46.3446,40.7038,6461,031
46.3529,40.7038,8336,031
46.3696,40.7038,5697,031
46.3279,40.6954,7259,031
46.3362,40.6954,8345,031
46.3446,40.6954,8170,031
46.3529,40.6954,9982,031
46.3279,40.6871,8123,031
46.3196,40.6788,6748,031
46.3279,40.6788,9503,031
46.3612,40.6788,5273,031
46.3196,40.6704,7833,031
46.3529,40.6704,7148,031
46.3196,40.6621,6223,031
46.3279,40.6621,9045,031
46.3362,40.6621,8643,031
49.5529,40.6204,5240,031
49.5612,40.6204,5665,031
49.6529,40.6038,5700,031
49.6612,40.6038,6209,031
49.6529,40.5954,5491,031
49.6612,40.5954,8227,031
49.6696,40.5954,7804,031
49.6529,40.5871,5221,031
49.6612,40.5871,7904,031
49.6696,40.5871,8788,031
49.6779,40.5871,7671,031
49.6612,40.5788,5792,031
49.6696,40.5788,7672,031
49.6779,40.5788,8202,031
49.6862,40.5788,7638,031
49.6696,40.5704,6414,031
49.6779,40.5704,7597,031
49.6862,40.5704,7992,031
49.6946,40.5704,8414,031
49.6862,40.5621,6994,031
49.6946,40.5621,6846,031
49.6112,40.5538,5094,031
49.6362,40.5538,5027,031
49.6446,40.5538,5209,031
49.8529,40.4954,5250,031
49.9529,40.4954,5444,031
49.8529,40.4871,5488,031
49.8612,40.4871,5528,031
49.9446,40.4871,6341,031
49.9529,40.4871,6930,031
49.9446,40.4788,7170,031
49.9529,40.4788,7848,031
49.8446,40.4704,6723,031
49.9446,40.4704,6508,031
49.9529,40.4704,5578,031
49.8279,40.4621,5322,031
49.8362,40.4621,5570,031
49.8446,40.4621,6966,031
49.8946,40.4621,5211,031
49.9112,40.4621,5393,031
49.9196,40.4621,7283,031
49.9279,40.4621,5923,031
49.9446,40.4621,5463,031
49.7362,40.4538,5057,031
49.7446,40.4538,5394,031
49.7529,40.4538,5336,031
49.8446,40.4538,5356,031
49.9112,40.4538,6146,031
49.9196,40.4538,6932,031
49.9279,40.4538,6540,031
49.7446,40.4454,5777,031
49.7529,40.4454,5000,031
49.7696,40.4454,5208,031
