X,Y,Z,code
19.7696,41.3704,10608,008
19.7696,41.3621,11470,008
19.7779,41.3621,13390,008
19.7696,41.3538,15527,008
19.7779,41.3538,16376,008
19.7862,41.3538,12854,008
19.8362,41.3538,10174,008
19.8446,41.3538,17650,008
19.8529,41.3538,10196,008
19.7779,41.3454,11005,008
19.7862,41.3454,15353,008
19.7946,41.3454,15832,008
19.8029,41.3454,15257,008
19.8112,41.3454,11501,008
19.8196,41.3454,14389,008
19.8279,41.3454,15143,008
19.8362,41.3454,17676,008
19.8446,41.3454,17949,008
19.8529,41.3454,13876,008
19.8612,41.3454,10349,008
19.7862,41.3371,11653,008
19.7946,41.3371,14470,008
19.8029,41.3371,17551,008
19.8112,41.3371,15270,008
19.8196,41.3371,17050,008
19.8279,41.3371,17468,008
19.8362,41.3371,18224,008
19.8446,41.3371,19366,008
19.8529,41.3371,15598,008
19.8612,41.3371,11620,008
19.7946,41.3288,12929,008
19.8029,41.3288,18294,008
19.8112,41.3288,17824,008
19.8196,41.3288,18031,008
19.8279,41.3288,18197,008
19.8362,41.3288,18661,008
19.8446,41.3288,14113,008
19.7779,41.3204,13067,008
19.7862,41.3204,13574,008
19.7946,41.3204,15782,008
19.8029,41.3204,17055,008
19.8112,41.3204,16687,008
19.8196,41.3204,16637,008
19.8279,41.3204,16514,008
19.8362,41.3204,14030,008
19.7612,41.3121,12361,008
19.8029,41.3121,10407,008
19.5529,40.7288,11541,008
19.5612,40.7288,12184,008
46.3612,40.7038,10175,031
46.3612,40.6954,11529,031
46.3362,40.6871,10487,031
46.3446,40.6871,10731,031
46.3529,40.6871,12459,031
46.3612,40.6871,10783,031
46.3362,40.6788,10510,031
46.3446,40.6788,12311,031
46.3529,40.6788,12741,031
46.3279,40.6704,10303,031
46.3362,40.6704,11272,031
46.3446,40.6704,11277,031
49.9529,40.4288,10030,031
49.8029,40.4204,10222,031
49.8112,40.4204,13257,031
49.8196,40.4204,13451,031
49.8029,40.4121,11033,031
49.8112,40.4121,17945,031
49.8196,40.4121,22578,031
49.8946,40.4121,10732,031
49.9362,40.4121,10184,031
49.8029,40.4038,12634,031
49.8112,40.4038,15752,031
49.8196,40.4038,20081,031
49.8279,40.4038,14027,031
49.8362,40.4038,15095,031
49.8029,40.3954,12571,031
49.8112,40.3954,12341,031
49.8196,40.3954,16519,031
49.8279,40.3954,20671,031
49.8362,40.3954,23001,031
49.8446,40.3954,15101,031
49.8612,40.3954,10179,031
49.8029,40.3871,11715,031
49.8112,40.3871,11714,031
49.8196,40.3871,12699,031
49.8279,40.3871,21940,031
49.8362,40.3871,25665,031
49.8446,40.3871,25406,031
49.8529,40.3871,11984,031
49.8612,40.3871,11952,031
49.8696,40.3871,11610,031
49.8779,40.3871,10969,031
49.9029,40.3871,10235,031
49.9529,40.3871,10391,031
49.8029,40.3788,10309,031
49.8112,40.3788,14701,031
49.8196,40.3788,15681,031
49.8279,40.3788,21008,031
49.8362,40.3788,24034,031
49.8446,40.3788,24674,031
49.8529,40.3788,16734,031
49.8612,40.3788,11998,031
49.8696,40.3788,11581,031
